IP Address,User ID,Account Number,Age,Shipping Address,Transaction Date,Transaction Time,Transaction Value,Product Category,Units
3.56.123.0,johnp,25671147,32,"1542, Orchid Lane, WA 98706, US",15-5-20,3:00:05 PM,$121.58 ,Clothing,1
3.56.123.0,johnp,25671147,32,"1542, Orchid Lane, WA 98706, US",10/6/2020,10:23:10 AM,$79.23 ,Electronics,2
3.56.123.0,johnp,25671147,32,"1542, Orchid Lane, WA 98706, US",1/6/2020,7:12:45 AM,,Home Decor,1
1.186.52.7,johnp,25671147,32,In-store,3/6/2020,1:11:10 AM,"$2,009.99 ",Electronics,110
,johnp,25671147,32,In-store,6/3/2020,1:15:12 AM,"$4,131.00 ",Electronics,15
1.186.52.7,johnp,25671147,32,P.O.Box 1049,6/3/2020,1:22:24 AM,"$3,010.50 ",Tools,20
1.58.167.2,davidg,51422789,47,"90 Robinson Blvd., Alberta, 97602, Canada",15-May-20,5:02:08 PM,$234.20 ,Furniture,1
1.58.167.2,davidg,51422789,47,"91 Robinson Blvd., Alberta, 97602, Canada",18-May-20,7:12:45 PM,$141.00 ,Kitchen Supplies,3
,davidg,51422789,47,"92 Robinson Blvd., Alberta, 97602, Canada",1-Jun-20,5:34:15 PM,$157.25 ,Car Spares,2
1.58.167.2,davidg,51422789,47,"93 Robinson Blvd., Alberta, 97602, Canada",13-Jun-20,6:02:10 PM,$59.99 ,Kitchen Supplies,1
172.165.10.1,ellend,11568528,,P.O.Box 1322,7-Jun-20,3:53:12 PM,$99.99 ,Clothing,1
172.165.10.1,ellend,11568528,,P.O.Box 1322,8-Jun-20,5:15:30 PM,$53.15 ,Beauty,1
1.167.255.10,ellend,11568528,,P.O.Box 5401,2-Jul-20,12:05:10 AM,"$4,895.00 ",Laptop,1
